Displacement/μm - ,Load/N - 
0.94,8.89262
0.94,8.89262
0.96,8.89262
0.94,8.89262
0.94,8.8576
0.96,8.8576
0.96,8.82259
0.96,8.78757
0.94,8.78757
0.96,8.75256
0.96,8.75256
0.96,8.75256
0.96,8.71755
0.98,8.71755
0.98,8.71755
1,8.71755
1.04,8.71755
1.06,8.75256
1.08,8.82259
1.1,8.8576
1.12,8.89262
1.16,8.96264
1.16,9.03267
1.18,9.06769
1.22,9.13771
1.24,9.20774
1.28,9.27777
1.32,9.38281
1.36,9.41782
1.4,9.52286
1.46,9.59289
1.5,9.66292
1.56,9.73295
1.62,9.80298
1.7,9.873
1.76,9.90802
1.82,9.94303
1.9,9.97804
1.98,10.0131
2.1,10.0481
2.16,10.0831
2.26,10.1181
2.38,10.1531
2.46,10.1881
2.6,10.2231
2.74,10.2582
2.86,10.2932
2.96,10.3282
3.12,10.3632
3.3,10.3982
3.44,10.4332
3.62,10.4682
3.78,10.5033
3.96,10.5383
4.12,10.5383
4.3,10.5733
4.46,10.6083
4.62,10.6433
4.78,10.6433
4.94,10.6783
5.12,10.7483
5.28,10.7834
5.46,10.8184
5.6,10.8884
5.8,10.9234
5.96,10.9584
6.12,11.0285
6.28,11.0635
6.46,11.0985
6.64,11.1335
6.8,11.1685
7,11.2385
7.16,11.2385
7.34,11.2736
7.46,11.3086
7.64,11.3436
7.8,11.3786
7.94,11.4136
8.1,11.4486
8.26,11.5187
8.44,11.5887
8.62,11.6237
8.8,11.6587
8.98,11.7287
9.16,11.7637
9.32,11.8338
9.5,11.8688
9.66,11.9388
9.84,11.9738
10,12.0439
10.14,12.0789
10.3,12.1489
10.46,12.2189
10.6,12.289
10.76,12.359
10.9,12.394
11.02,12.464
11.16,12.499
11.28,12.5691
11.42,12.6041
11.54,12.6741
11.68,12.7091
11.82,12.7792
11.98,12.8142
12.12,12.8842
12.28,12.9542
12.44,12.9892
12.6,13.0593
12.78,13.0943
12.96,13.1643
13.14,13.2343
13.34,13.2693
13.54,13.3744
13.72,13.4444
13.88,13.5144
14.04,13.5845
14.2,13.6545
14.38,13.7595
14.54,13.8296
14.7,13.9346
14.9,13.9696
15.08,14.0747
15.26,14.1447
15.4,14.2147
15.6,14.2847
15.78,14.3548
15.92,14.4248
16.1,14.5298
16.3,14.5649
16.48,14.6349
16.68,14.7399
16.88,14.81
17.08,14.845
17.26,14.915
17.5,14.985
17.76,15.0901
17.98,15.1601
18.24,15.2301
18.46,15.3001
18.72,15.3702
18.98,15.4402
19.24,15.5452
19.5,15.6153
19.72,15.7203
19.98,15.7903
20.24,15.8954
20.54,16.0004
20.78,16.1055
21,16.1755
21.22,16.2805
21.44,16.3856
21.66,16.4556
21.94,16.5957
22.2,16.7007
22.5,16.7707
22.78,16.8758
